quartil,periodo,grupo_origem,alvo,peso,n,pct_da_origem
Q1,pre,9,Desocupado,3092332.15139624,7356,5.526109841797022
Q1,pre,9,Fora da força de trabalho,5194054.06309263,15651,9.281963214696114
Q1,pre,9,G0,13376.59629241,44,0.023904463298955802
Q1,pre,9,G1,156750.91933619,354,0.28011958471645315
Q1,pre,9,G2,159477.42858348,328,0.28499195574503
Q1,pre,9,G3,407144.63948839,880,0.727582254802678
Q1,pre,9,G4,653871.39280804,1409,1.1684919220060308
Q1,pre,9,G5,3033494.65224789,7246,5.420965094340442
Q1,pre,9,G6,2160995.61059367,8391,3.8617776251460816
Q1,pre,9,G7,2489718.08716133,5721,4.449216627182209
Q1,pre,9,G8,1486381.29843606,3344,2.6562173530556317
Q1,pre,9,G9,37110975.10220738,90758,66.31866006321336
Q2,pos,2,Desocupado,9951.68487503,13,5.804226250445741
Q2,pos,2,Fora da força de trabalho,11861.17236089,29,6.917916799282864
Q2,pos,2,G1,2838.78497508,3,1.6556945360150006
Q2,pos,2,G2,86332.07667067,183,50.35236866519917
Q2,pos,2,G3,8299.7137026,13,4.840729660229512
Q2,pos,2,G4,1032.41163838,3,0.6021443411845201
Q2,pos,2,G5,13640.45591403,19,7.955667133604059
Q2,pos,2,G6,611.5560618,1,0.35668429940192187
Q2,pos,2,G7,30531.78000331,53,17.80737243928376
Q2,pos,2,G8,4602.09477049,4,2.6841283269469085
Q2,pos,2,G9,1754.10905921,3,1.023067548406538
Q2,pos,3,Desocupado,170397.49814446,310,1.6318288036114663
Q2,pos,3,Fora da força de trabalho,354072.6521688,769,3.390812416097301
Q2,pos,3,G0,8551.77023041,18,0.08189688895560708
Q2,pos,3,G1,42322.54111415,72,0.4053060777544396
Q2,pos,3,G2,400658.93134419,778,3.8369506108437825
Q2,pos,3,G3,8419306.29391485,16423,80.628334725842
Q2,pos,3,G4,257685.00357497,496,2.4677463910641992
Q2,pos,3,G5,474431.72514862,907,4.5434432011921375
Q2,pos,3,G6,10712.16081181,31,0.10258608695539626
Q2,pos,3,G7,130475.39301007,217,1.2495107427918577
Q2,pos,3,G8,68095.1429386,126,0.6521199949722394
Q2,pos,3,G9,105409.43381828,203,1.0094640599195812
Q2,pos,4,Desocupado,175207.34866441,295,2.3240958780735537
Q2,pos,4,Fora da força de trabalho,245380.953225,451,3.2549368864676236
Q2,pos,4,G0,3039.36503689,7,0.04031666370185644
Q2,pos,4,G1,107517.61503085,189,1.426202997866928
Q2,pos,4,G2,101739.51497308,162,1.349557476832983
Q2,pos,4,G3,362167.75953174,596,4.804094140543481
Q2,pos,4,G4,4626454.04562249,7619,61.36913125786073
Q2,pos,4,G5,404216.96473912,708,5.361869743243371
Q2,pos,4,G6,14061.48121716,34,0.18652317260393894
Q2,pos,4,G7,282362.52569363,474,3.745491197084163
Q2,pos,4,G8,369481.73311556,607,4.901112764408703
Q2,pos,4,G9,847102.21956367,1454,11.236667821312663
Q2,pos,5,Desocupado,732469.97848134,1361,2.9083180709631167
Q2,pos,5,Fora da força de trabalho,1678588.2927681,3919,6.6649402828582405
Q2,pos,5,G0,77563.35768192,136,0.30797018501509893
Q2,pos,5,G1,261300.17962042,493,1.0375087807852532
Q2,pos,5,G2,255350.34587909,499,1.0138845920846962
Q2,pos,5,G3,795768.2625556,1485,3.159647884938307
Q2,pos,5,G4,570773.68730534,1061,2.2662927874014707
Q2,pos,5,G5,17661652.93050051,35059,70.12670264978225
